A,B,C,D,E
1.087,22.078,59.746,201.347,506
1.109,20.958,61.426,204.692,508
1.028,20.187,62.549,200.545,498
1.069,20.842,66.513,201.476,519
1.175,19.811,63.547,199.081,483
1.161,19.244,62.902,201.580,526
1.207,20.547,60.624,198.930,505
1.072,20.635,62.313,207.893,513
1.024,19.562,64.729,201.553,503
1.048,19.157,61.044,202.602,516
1.170,21.004,63.864,206.700,509
1.116,20.809,61.210,203.661,498
1.128,20.007,63.683,203.753,510
1.149,21.643,58.859,203.965,518
0.930,21.387,57.489,199.887,510
0.934,20.014,59.056,213.241,511
1.157,20.777,61.293,196.918,507
1.024,21.858,64.282,212.333,518
1.040,19.884,63.533,206.781,492
1.136,21.815,62.118,204.075,501
0.955,21.800,61.382,203.833,527
1.168,21.371,62.284,212.600,527
1.193,21.582,57.811,205.619,508
1.109,21.943,56.521,202.153,512
1.053,19.583,63.738,206.384,500
1.131,21.822,62.011,209.003,510
1.060,19.841,61.828,205.971,518
1.088,21.457,60.071,201.087,508
0.995,21.820,62.926,206.395,513
1.302,20.531,57.597,205.997,509
1.048,20.021,61.122,205.907,504
1.341,20.039,60.414,193.557,512
0.898,20.461,61.449,201.451,527
1.199,22.319,60.235,210.643,514
1.177,22.029,60.182,202.878,518
0.834,22.513,63.106,204.771,512
0.997,20.650,64.201,211.490,536
1.093,20.341,60.972,199.910,509
1.138,20.966,64.193,203.829,506
1.042,19.367,58.864,199.104,523
1.190,22.375,59.336,195.157,503
1.118,21.499,64.096,206.421,527
1.078,20.087,58.638,200.555,512
1.011,21.937,64.825,193.152,518
0.876,21.401,64.450,205.324,497
1.041,20.738,61.636,203.986,508
1.121,19.791,61.516,212.591,506
1.056,22.078,56.882,210.907,503
1.116,21.096,63.885,203.662,503
1.230,18.636,62.041,198.260,502
1.301,20.955,62.390,196.092,502
1.120,21.355,63.234,205.043,515
1.145,19.170,62.074,208.840,515
1.064,20.194,59.763,204.345,521
0.905,20.340,59.720,208.925,504
1.053,20.783,62.891,203.038,479
1.154,21.439,61.561,199.580,513
1.138,20.530,61.567,200.349,508
0.945,21.417,60.111,206.191,495
1.041,20.890,58.679,205.576,506
0.926,19.697,63.210,209.478,508
1.140,21.224,62.659,211.430,494
1.168,20.618,61.551,203.489,506
0.977,21.183,65.342,204.719,509
1.031,20.883,62.932,203.149,505
1.140,20.082,62.505,209.102,523
1.091,22.368,64.069,200.019,497
1.070,22.029,61.855,201.997,525
1.129,18.679,62.634,207.600,512
1.145,20.933,59.363,203.146,500
1.007,19.737,62.905,205.489,505
1.035,20.977,64.158,194.979,513
1.045,19.115,58.109,200.436,512
1.139,20.061,64.034,212.115,513
1.041,22.124,63.511,209.337,503
0.817,23.117,58.778,204.821,533
1.133,21.949,58.995,196.112,504
1.209,20.654,60.411,205.990,520
0.956,19.789,60.423,210.473,512
1.313,21.936,61.930,211.325,512
1.030,21.680,60.607,203.548,523
1.090,20.197,61.071,210.109,504
1.061,20.490,62.368,203.073,493
1.011,20.067,64.487,209.063,515
1.049,20.184,60.985,199.741,534
0.875,21.564,59.431,204.478,500
0.982,19.860,65.510,204.335,502
1.156,21.010,63.440,195.879,513
1.177,19.338,62.896,213.481,509
1.182,21.671,60.585,205.199,494
1.055,21.266,63.446,205.123,517
0.990,20.898,62.039,214.248,507
1.050,21.021,60.162,205.964,506
0.921,20.941,61.365,196.838,509
1.249,21.521,63.224,198.293,514
1.115,21.529,62.845,198.201,509
1.024,20.950,60.205,211.562,501
1.010,21.075,59.846,202.877,501
1.241,21.786,61.885,203.044,519
1.141,21.498,61.948,196.559,508
1.047,21.645,64.024,201.710,514
1.274,20.332,65.364,200.737,510
1.099,21.011,60.325,202.044,503
1.133,21.330,66.452,211.855,504
1.132,21.997,62.061,204.652,510
1.187,20.152,61.349,207.352,513
1.124,20.630,63.945,215.669,514
1.081,21.756,60.922,201.252,510
0.842,19.846,61.304,198.233,499
1.056,19.357,61.188,202.324,510
1.215,21.173,62.042,205.497,512
0.998,20.885,62.618,198.146,518
1.208,20.369,61.517,200.609,516
0.994,20.778,60.282,205.255,492
1.233,20.035,62.120,203.937,502
1.011,21.936,60.949,206.356,501
1.035,21.472,63.861,204.123,495
1.300,20.143,58.917,217.972,505
0.954,20.317,62.735,205.952,501
1.282,20.478,59.631,209.803,523
1.018,19.599,64.061,194.763,497
1.197,20.945,61.472,206.764,508
0.970,22.276,64.650,206.027,510
1.334,20.724,61.481,206.822,524
1.259,20.741,62.617,198.110,506
1.016,19.993,65.363,201.039,504
1.137,22.298,62.962,218.797,509
1.126,21.276,64.870,207.536,508
1.005,21.244,64.803,202.948,515
1.125,21.864,60.390,216.733,497
1.063,21.938,62.593,209.150,505
1.093,21.012,65.139,208.452,517
1.034,21.969,62.451,211.946,530
1.069,20.594,60.272,204.282,506
1.136,20.855,61.277,210.323,500
1.143,20.594,63.449,211.926,506
1.144,21.179,60.401,206.204,512
1.141,20.802,62.188,199.262,506
1.156,21.892,61.155,205.524,512
1.120,21.541,58.364,204.753,512
1.000,22.674,62.323,212.817,502
1.009,21.224,58.643,206.075,510
1.202,21.701,61.165,199.513,527
1.021,19.954,59.830,210.587,504
1.025,21.138,61.586,201.610,517
1.207,21.985,63.534,207.013,492
1.267,21.302,63.216,210.575,524
1.142,21.436,60.802,205.165,501
1.028,20.106,61.688,210.245,541
1.119,19.652,64.530,203.496,503
1.121,19.759,62.445,204.558,510
1.138,21.067,62.033,206.422,514
0.997,19.570,61.877,197.836,510
1.194,21.607,59.904,200.699,513
1.060,20.683,63.194,200.064,505
1.020,19.957,60.286,208.387,510
1.012,20.769,58.722,201.333,531
1.091,21.732,61.869,206.741,516
0.990,20.969,65.158,201.022,504
1.069,21.269,63.050,211.337,514
1.094,22.259,63.408,197.522,535
1.277,20.832,62.756,211.622,508
1.173,22.105,59.970,201.988,519
1.146,21.924,61.735,203.555,490
0.985,21.047,63.649,207.656,508
1.073,21.217,62.156,212.023,511
0.952,19.727,65.038,199.144,517
1.073,20.830,61.732,211.107,508
1.097,19.469,62.413,207.655,512
1.240,21.055,62.598,213.243,494
1.054,22.426,63.872,208.392,518
1.133,22.632,62.756,206.199,511
1.119,19.843,63.541,204.348,528
1.092,21.421,62.493,201.872,519
1.291,20.985,61.399,203.225,491
1.082,21.251,64.110,209.800,505
1.072,22.124,61.653,202.450,523
1.204,21.019,60.812,194.941,515
1.010,19.037,65.170,208.240,498
0.979,21.871,60.244,211.481,516
1.154,21.405,62.383,209.403,505
1.109,21.752,63.126,199.025,504
1.125,20.592,65.549,203.034,508
1.177,21.331,61.709,201.218,513
1.204,21.479,60.444,213.684,495
0.942,21.961,62.452,202.253,499
1.332,21.117,63.068,206.589,514
1.154,21.732,61.250,203.542,492
1.022,21.271,64.090,207.995,506
0.974,18.223,64.303,202.054,505
1.113,19.594,61.300,215.117,515
1.136,19.418,66.487,197.886,529
0.888,22.405,65.236,200.878,514
1.155,20.186,59.102,198.411,515
1.091,20.436,63.934,207.540,502
0.980,21.523,60.925,205.496,525
1.150,20.138,62.321,200.237,526
1.044,21.207,62.615,205.796,490
0.955,20.548,62.639,204.311,500
0.965,20.598,61.063,207.564,506
1.160,20.405,61.488,203.260,502
1.163,20.186,60.957,204.634,497
1.068,20.289,61.224,204.700,502
1.078,22.309,61.948,210.726,513
1.177,20.226,62.210,205.670,503
1.018,19.510,64.992,200.138,523
1.053,20.138,63.245,201.844,515
1.067,21.480,60.064,209.157,514
1.008,23.643,63.080,216.452,526
1.081,20.588,61.193,195.850,503
1.125,22.526,60.454,209.410,497
1.041,20.542,62.744,207.287,519
1.177,21.243,62.781,212.943,504
1.177,19.192,62.823,202.584,510
1.204,21.165,63.770,212.369,513
1.217,20.673,61.984,202.387,520
1.141,20.493,62.309,210.208,509
1.005,21.132,58.039,208.844,505
1.053,21.876,59.270,214.735,505
1.048,22.021,63.417,217.256,507
1.088,19.521,61.336,201.393,505
0.926,22.661,59.167,190.989,498
1.040,19.850,64.197,204.311,510
1.161,21.286,63.957,199.453,504
1.167,18.465,59.250,207.505,505
1.194,21.809,59.604,207.033,522
1.115,20.023,63.759,208.177,515
1.172,18.005,63.762,214.041,514
1.119,21.696,62.676,208.259,510
1.023,19.996,60.004,198.135,499
1.276,21.754,60.750,203.048,511
1.034,21.068,63.555,204.821,513
1.189,20.728,62.570,203.453,509
1.068,20.471,62.347,207.833,511
1.150,20.262,59.593,207.085,516
1.105,22.348,63.815,218.403,507
1.000,20.260,60.869,207.380,488
1.232,20.761,61.506,199.603,508
1.101,20.878,62.678,202.052,501
1.155,21.099,62.394,210.295,499
1.014,22.257,59.034,198.453,518
1.124,21.105,61.817,205.156,509
1.236,20.602,61.677,213.972,510
1.323,20.895,64.735,196.723,511
0.942,21.844,59.574,206.419,507
0.984,19.381,60.978,213.703,507
1.192,20.943,63.753,195.865,505
1.195,20.837,61.827,202.848,521
1.130,21.044,63.286,207.941,512
1.255,20.940,62.556,201.785,511
1.259,20.357,59.733,209.984,508
1.110,20.955,62.158,209.253,501
0.999,21.085,58.787,198.135,528
1.176,20.990,64.476,199.797,506
1.162,21.891,63.026,192.294,500
1.148,20.644,67.080,209.633,515
0.988,20.965,62.482,210.639,518
1.203,20.076,64.824,198.098,504
1.143,20.850,59.988,200.892,494
1.153,22.261,61.799,202.998,495
1.191,23.211,58.405,199.683,503
1.044,21.227,65.228,210.043,515
1.028,19.880,60.406,212.740,509
1.055,20.816,63.649,198.436,524
1.116,20.784,62.886,206.092,506
1.075,20.131,63.313,202.340,500
1.117,22.329,61.903,201.959,514
1.294,19.548,62.764,206.025,521
1.199,20.813,58.631,209.033,501
1.005,22.148,60.178,212.014,513
1.132,21.307,58.723,196.118,512
1.157,21.083,60.357,205.095,509
1.004,22.014,58.539,207.944,513
1.201,19.995,62.203,215.856,516
1.110,21.539,62.172,215.954,519
1.091,21.252,61.218,211.049,495
0.940,22.459,66.306,207.342,511
1.166,20.353,62.342,205.195,516
0.944,20.493,63.690,201.622,500
1.304,21.038,60.842,196.538,517
1.170,20.701,59.796,204.877,501
1.006,20.897,59.897,206.233,516
1.016,19.632,65.123,200.299,503
1.121,21.599,61.487,207.304,505
1.003,22.426,66.977,213.480,511
1.283,21.356,61.045,207.332,509
1.002,20.102,63.604,195.767,516
0.937,18.879,58.322,214.834,508
1.109,22.419,63.868,198.042,518
1.118,20.658,62.049,211.399,501
1.140,20.990,58.406,200.989,511
1.230,22.001,63.194,200.924,528
1.122,19.994,61.634,209.481,510
1.189,22.104,62.801,200.711,511
1.105,22.859,58.747,204.326,504
1.134,18.562,64.230,205.069,491
1.064,21.609,58.817,205.016,499
1.044,21.027,62.367,202.646,512
1.182,20.721,64.863,212.311,505
1.036,19.336,61.747,203.183,517
0.949,20.723,63.937,201.348,502
0.955,23.621,60.505,198.498,501
1.023,20.731,63.651,203.508,500
0.955,21.022,62.085,212.655,510
1.090,19.949,61.388,202.808,506
1.004,21.538,61.715,203.998,492
1.149,21.487,60.322,209.951,496
1.098,20.729,59.366,205.949,527
1.107,20.537,62.894,205.529,510
1.057,22.422,62.913,202.357,508
1.026,20.392,60.719,199.328,517
1.071,21.554,60.660,204.698,502
1.172,20.752,60.538,196.791,512
1.029,20.984,61.017,209.771,515
1.145,20.384,62.933,213.574,501
1.117,19.351,64.797,203.010,517
0.928,22.798,61.286,207.728,511
1.074,22.686,58.704,206.494,519
1.097,20.882,61.715,198.862,510
1.151,21.069,61.455,202.551,507
1.226,18.913,62.080,203.361,524
1.106,22.485,57.752,207.298,512
1.239,19.359,61.690,205.330,505
1.222,20.661,66.070,210.271,519
1.156,19.936,61.138,207.864,516
1.231,20.533,60.280,209.296,501
1.187,22.200,62.912,203.212,510
1.159,21.010,66.397,200.047,499
1.002,20.410,57.642,201.852,503
1.108,21.418,59.520,209.500,528
1.079,22.574,62.398,214.944,521
0.944,21.019,64.109,205.153,509
1.227,20.290,62.035,206.618,506
1.098,21.775,62.866,200.956,498
1.021,21.001,61.680,200.840,504
0.948,21.418,61.920,198.701,510
1.234,20.260,64.630,203.383,511
1.110,22.402,62.317,199.290,496
0.947,19.288,62.092,200.208,509
1.030,20.229,61.038,208.518,519
1.137,20.010,63.287,208.444,512
1.040,21.709,62.846,189.416,516
0.909,21.664,61.692,210.968,509
1.011,20.853,64.120,205.131,508
1.174,21.210,61.988,211.830,525
1.161,20.714,64.994,210.916,517
0.978,21.141,60.513,204.205,512
1.110,20.525,64.546,196.519,517
0.914,21.383,60.226,209.392,510
1.125,19.982,60.691,206.036,515
1.393,21.223,63.952,197.215,496
1.064,19.803,64.973,202.949,523
1.249,21.043,63.004,204.720,515
1.148,20.876,63.010,213.618,517
1.133,21.125,59.975,199.864,513
0.963,20.234,64.563,214.571,493
1.263,20.789,61.970,204.433,520
0.939,21.456,60.110,207.854,525
1.100,21.374,62.819,201.002,525
1.271,21.702,62.147,202.691,503
1.271,22.414,61.873,197.100,481
0.992,20.869,64.801,201.742,515
1.230,21.129,61.715,198.456,497
1.142,20.799,62.245,204.764,516
1.022,20.664,65.792,201.001,507
1.041,21.445,64.045,202.509,505
1.072,21.530,60.521,203.120,486
0.962,20.888,63.796,206.475,499
0.960,21.175,58.694,210.330,510
0.939,20.034,60.551,201.134,495
1.013,20.316,60.577,210.640,511
1.001,20.665,60.241,203.500,518
1.125,23.286,62.752,200.432,518
1.208,22.094,59.812,204.262,521
0.932,20.501,59.146,200.337,499
1.225,20.765,60.273,199.822,511
1.099,22.344,63.000,197.841,503
1.207,20.379,65.469,199.509,515
1.014,20.490,64.197,204.365,518
1.147,21.754,60.224,203.892,514
1.015,22.630,60.446,203.500,499
0.886,22.797,61.591,202.760,508
1.242,20.035,63.359,202.881,504
1.157,21.988,60.972,201.156,498
1.210,20.425,58.302,212.050,496
1.178,21.183,62.576,202.078,513
0.933,21.588,65.114,209.420,489
1.002,20.812,62.974,204.467,505
1.160,22.164,61.535,208.645,484
1.006,20.679,61.023,206.664,520
1.151,20.378,58.954,207.785,491
1.165,20.812,59.648,206.436,509
1.096,20.916,62.839,209.622,514
1.201,20.956,65.237,207.856,504
0.991,21.206,59.387,200.133,512
1.039,20.067,61.931,205.363,507
1.062,21.855,62.685,203.883,534
1.119,22.132,60.878,198.185,502
1.073,20.503,64.673,204.400,514
1.095,20.566,62.076,213.570,502
1.177,19.974,61.081,205.018,513
1.248,20.950,60.313,208.250,506
1.124,20.884,58.113,207.541,515
1.193,22.800,59.610,207.583,514
1.058,21.397,62.999,198.907,512
1.008,20.348,58.451,202.633,507
1.155,21.001,58.915,209.311,508
1.149,21.966,64.845,214.806,509
1.131,19.922,64.123,199.076,491
1.183,20.478,63.555,207.040,493
0.828,19.903,62.033,198.891,503
0.954,21.170,62.182,202.593,523
1.250,21.565,58.400,199.477,514
1.037,20.513,63.798,207.554,523
1.057,22.375,60.892,212.497,511
1.014,19.369,61.397,203.719,518
1.089,20.568,64.154,203.876,504
1.157,20.510,63.318,202.015,507
1.115,20.626,61.973,209.077,514
1.148,20.365,63.706,208.348,520
1.027,20.828,63.267,201.956,507
1.293,22.952,64.480,209.693,499
1.151,20.641,59.883,202.455,511
1.045,20.449,63.584,205.721,512
1.111,20.324,59.259,206.553,504
0.899,20.607,59.816,208.493,515
1.150,20.335,63.463,206.598,505
1.055,21.893,61.053,206.518,520
1.291,22.664,63.802,197.470,503
1.045,22.653,60.601,206.931,511
1.006,21.382,62.797,198.721,522
0.891,20.409,63.944,199.034,513
0.970,20.907,57.372,200.787,494
1.060,20.585,60.653,208.990,501
1.163,22.629,62.278,200.712,497
1.029,21.705,62.311,209.684,517
1.114,21.473,65.710,212.078,506
1.199,21.586,64.273,208.358,500
