sex,height,weight
1,66.09,138.78
2,61.69,170.31
2,66.90,217.08
2,64.39,119.92
2,70.21,169.74
1,67.69,168.55
2,63.90,249.89
2,62.54,179.58
2,62.06,211.42
1,71.40,169.67
2,69.30,156.49
2,59.69,144.12
2,61.58,246.54
1,66.45,164.99
1,67.02,195.58
1,64.55,206.20
2,58.56,138.77
2,60.68,161.47
2,61.45,187.85
1,62.36,140.99
2,60.80,120.50
2,62.05,140.66
2,64.85,144.45
2,67.52,144.81
1,68.78,181.42
1,72.89,249.70
2,68.27,146.40
1,69.46,278.00
2,61.53,220.80
2,64.90,164.00
1,66.48,163.09
2,65.24,151.63
1,71.76,171.35
1,71.35,230.12
2,65.55,159.70
2,64.86,160.48
2,61.92,152.98
1,69.68,198.51
1,65.25,168.14
1,68.59,171.26
2,64.76,130.16
1,68.27,194.19
2,63.56,130.10
1,68.40,150.59
2,64.24,130.95
1,64.41,181.73
1,70.33,181.57
1,64.86,156.08
2,61.09,108.73
1,70.43,161.90
2,58.44,149.84
1,71.44,182.00
1,70.01,169.96
1,66.55,188.05
1,66.44,148.72
2,64.05,159.74
1,69.90,210.04
2,63.16,152.71
1,69.60,160.88
1,71.81,184.56
2,64.71,106.69
1,72.34,175.91
2,58.65,189.54
1,72.38,170.95
2,63.84,141.05
2,63.06,121.98
2,67.05,162.82
1,65.77,159.62
1,68.28,218.93
1,70.28,217.94
1,75.04,228.15
1,74.08,199.66
2,66.43,137.23
2,67.91,159.43
1,69.25,150.80
2,63.16,161.92
2,60.75,146.15
1,67.82,172.93
1,71.45,169.07
2,67.89,174.08
2,62.10,128.11
1,68.01,240.16
2,66.16,125.63
1,67.34,139.85
1,67.32,131.41
1,73.99,191.89
2,65.95,131.74
2,59.62,102.33
1,71.53,209.84
1,72.17,206.65
1,66.08,140.37
2,64.57,121.00
1,76.60,269.92
1,69.96,189.09
1,68.33,160.43
2,65.11,160.65
2,65.29,145.28
1,70.32,204.87
1,65.16,132.23
2,66.94,150.32
1,72.06,162.29
2,65.71,160.86
2,61.22,186.62
1,68.62,152.08
1,67.40,174.46
1,69.98,163.83
1,68.57,143.25
1,68.39,180.12
1,72.04,197.44
1,66.56,199.00
1,72.80,200.76
2,71.28,222.10
1,70.89,200.83
2,57.87,187.24
2,65.41,248.17
2,63.71,167.51
1,74.63,178.20
2,68.38,168.81
1,68.92,191.74
2,60.71,136.55
1,70.60,202.79
2,71.34,209.28
1,66.91,160.61
2,65.71,190.95
2,64.32,150.99
1,69.18,175.11
1,71.23,240.10
1,66.47,173.46
2,65.81,115.59
2,64.25,142.57
1,71.68,155.71
2,64.17,145.37
2,62.14,150.82
2,67.70,182.94
2,61.94,106.97
2,61.62,149.46
2,63.14,160.17
1,67.41,208.89
2,61.83,169.95
1,69.26,170.14
1,73.26,199.88
2,66.38,134.85
2,66.31,209.33
1,70.23,197.98
2,61.39,126.82
1,67.71,264.72
1,67.84,180.14
2,63.43,151.57
2,65.12,147.98
2,64.40,134.63
1,67.71,186.87
1,78.63,160.82
2,67.48,233.16
2,65.98,175.17
2,59.85,109.82
1,68.23,181.89
2,69.57,214.40
2,62.84,121.49
2,63.17,146.24
1,70.20,195.39
1,61.76,191.74
1,69.27,231.75
1,67.21,163.52
2,66.48,190.35
2,59.09,148.30
2,66.89,165.60
2,64.88,126.91
2,68.46,181.62
1,63.29,167.51
1,71.36,197.82
1,67.96,177.48
2,66.81,190.02
2,72.36,168.58
1,74.45,163.41
2,57.06,101.39
2,63.34,128.31
1,70.16,179.83
2,63.12,124.96
2,64.66,198.42
1,67.72,177.05
1,64.65,186.80
2,66.82,138.11
2,63.98,219.46
2,61.47,169.66
1,73.10,240.51
2,61.82,177.41
1,72.63,177.95
2,61.43,138.46
2,68.12,159.85
2,61.68,131.75
1,64.12,168.79
2,64.02,146.92
2,64.40,115.34
2,70.23,179.80
2,67.00,159.59
1,74.66,208.58
2,59.29,208.22
1,70.11,199.57
1,67.17,188.24
2,65.38,152.01
1,68.11,208.67
1,65.57,157.68
1,70.61,226.12
1,78.02,186.10
2,67.96,181.05
1,75.64,187.05
1,71.12,178.41
1,69.82,178.82
2,64.01,155.73
2,66.66,203.05
1,69.18,209.62
2,63.32,201.92
2,65.80,121.63
1,72.58,210.17
1,73.15,205.97
1,70.62,179.79
1,75.10,230.57
2,61.44,126.24
1,69.82,181.01
1,66.48,186.84
1,73.02,192.84
1,73.30,236.62
2,62.34,128.36
1,65.27,161.25
2,64.53,145.76
1,65.64,163.75
1,72.79,208.39
2,65.44,154.54
2,64.02,164.25
2,62.47,120.12
1,70.53,175.02
1,71.84,216.91
2,66.06,173.71
2,68.96,175.48
1,68.06,170.96
2,69.40,149.99
1,66.13,188.04
1,68.07,143.10
2,61.11,138.99
1,75.17,255.72
2,62.44,167.15
1,63.33,180.51
1,69.62,183.15
1,75.11,178.58
2,61.39,256.68
1,71.20,167.88
2,63.75,135.88
2,67.70,220.23
2,66.33,141.36
2,64.29,130.77
2,58.47,211.43
2,63.91,108.62
2,66.53,113.31
2,62.69,190.07
1,74.42,249.05
2,66.52,198.53
1,67.15,128.69
2,62.18,129.16
2,64.97,139.46
2,68.98,161.28
2,65.77,107.11
2,66.93,186.58
2,67.04,193.06
1,70.78,213.17
2,59.64,191.56
1,63.97,169.14
1,70.67,144.22
1,68.54,190.59
2,61.50,119.58
1,73.93,185.15
2,58.62,140.61
2,66.36,197.97
2,62.74,144.10
2,66.71,138.86
2,62.08,221.76
1,75.43,169.05
1,72.81,184.94
1,66.59,194.15
1,74.74,221.94
1,64.23,138.51
1,65.63,250.82
2,65.36,170.21
1,66.74,156.27
1,72.32,187.24
1,71.43,165.66
1,72.39,191.64
2,66.42,139.59
1,68.39,159.25
2,65.37,151.52
1,68.86,184.29
1,65.69,191.62
2,72.11,131.77
1,67.69,200.03
1,72.56,172.98
2,61.32,147.88
2,61.50,123.56
2,68.66,156.19
2,62.94,180.28
2,65.10,107.05
1,73.00,159.48
2,63.03,125.11
1,67.50,160.59
2,58.74,211.48
1,73.65,176.63
2,63.43,193.80
2,67.16,151.24
2,61.82,148.24
2,60.51,160.29
2,64.47,177.30
2,62.40,125.53
1,68.66,143.10
1,74.21,197.27
2,62.55,118.82
2,62.61,129.08
1,66.47,146.37
2,64.21,179.44
2,65.81,143.56
2,65.70,190.70
1,72.51,213.84
2,61.73,169.86
2,67.42,173.92
2,59.26,140.05
1,73.88,202.65
2,65.85,126.74
2,60.94,154.97
2,63.85,173.07
1,65.65,148.69
2,60.84,123.90
1,68.31,147.46
1,72.76,279.24
2,62.95,149.92
2,64.34,178.27
2,65.25,139.27
2,69.65,223.80
1,69.24,147.82
1,70.14,181.28
2,62.26,160.44
2,65.03,188.44
2,60.48,196.61
2,62.85,178.25
2,65.94,122.53
2,64.30,124.06
2,67.61,250.76
1,69.05,199.71
1,63.30,164.69
1,67.14,130.64
2,62.21,120.21
2,62.90,133.45
1,71.59,261.45
2,59.61,147.04
2,64.60,109.00
1,72.13,203.57
2,63.73,168.84
1,67.54,168.39
1,72.27,209.40
2,68.41,153.70
1,67.87,167.40
1,71.70,250.04
1,72.54,200.23
2,67.00,258.68
2,64.48,217.28
2,63.43,139.73
2,66.42,207.86
1,71.34,173.97
1,74.18,223.98
2,62.10,111.61
1,74.34,234.13
2,70.60,170.21
2,66.38,250.99
2,67.29,143.75
2,66.79,172.75
2,60.80,250.77
2,63.39,136.62
2,61.06,141.47
2,65.24,188.37
2,62.64,140.47
1,66.67,259.39
2,62.03,217.37
1,74.20,239.38
2,61.49,158.74
1,69.52,169.35
2,63.92,135.85
2,65.61,115.58
1,73.03,186.11
2,66.77,187.96
1,70.99,244.88
2,66.92,186.89
2,61.00,191.15
1,73.35,190.20
2,61.87,124.03
1,70.32,209.49
1,70.47,213.88
1,69.11,178.98
1,73.60,210.05
1,75.46,291.12
2,59.90,140.53
2,66.85,185.35
2,63.62,140.67
1,70.05,285.06
1,72.90,214.76
1,69.10,242.31
1,70.58,262.35
2,63.07,136.71
1,74.78,247.55
1,70.78,200.71
2,57.61,98.63
2,65.34,131.62
2,67.96,146.75
2,62.36,176.58
2,68.08,162.82
1,76.31,166.35
1,73.31,184.20
2,67.20,139.20
2,64.70,149.93
1,72.74,184.38
2,65.90,143.20
1,71.99,230.94
2,64.28,163.64
2,63.82,162.42
2,67.24,142.69
2,67.14,149.53
1,70.70,210.22
1,71.28,191.07
2,61.93,130.49
2,61.60,126.43
1,68.55,152.84
1,68.69,192.41
1,72.35,172.26
1,75.67,227.00
2,60.03,105.28
2,65.70,240.92
2,65.26,116.94
1,66.03,281.63
2,69.97,155.06
1,68.27,183.70
2,66.39,173.92
1,67.91,149.81
2,64.58,122.66
2,62.92,139.55
1,63.21,159.30
1,70.65,178.70
1,66.92,228.91
1,73.26,199.94
1,67.82,228.55
1,61.75,147.81
1,71.78,160.91
2,62.60,129.60
1,70.38,268.05
2,62.48,138.11
1,76.57,210.31
2,65.30,179.70
1,67.69,165.09
1,71.11,187.65
1,69.98,165.77
2,66.08,170.20
1,70.66,285.97
1,66.71,152.00
1,68.26,216.11
2,66.45,125.65
2,57.74,154.34
1,67.08,260.17
2,63.43,248.69
1,70.42,146.63
1,76.98,188.90
2,61.49,143.54
2,70.53,148.61
1,75.66,170.93
1,74.65,250.67
2,69.45,130.96
1,68.67,165.23
1,68.74,142.34
2,68.60,177.27
2,70.52,157.19
2,63.16,161.81
2,63.40,139.15
1,74.00,241.39
2,62.03,148.14
2,65.19,163.88
2,66.45,238.79
1,75.99,193.33
1,69.06,176.73
1,65.17,198.96
1,72.76,231.15
2,61.42,153.25
1,66.46,189.46
1,75.31,172.21
2,61.37,111.05
1,73.47,185.78
2,62.42,128.37
1,74.84,284.05
1,62.19,160.52
1,76.44,173.27
1,71.51,234.85
1,68.88,261.48
2,73.97,193.76
2,65.51,135.32
2,58.39,122.72
2,67.89,110.71
2,62.15,209.90
1,62.97,169.51
1,64.90,151.46
2,66.84,154.15
2,61.96,134.73
1,71.25,220.37
1,75.67,193.81
1,71.78,177.86
2,64.97,133.22
1,71.35,199.98
2,62.85,148.62
2,65.25,191.58
1,67.65,224.90
1,65.97,177.38
2,62.53,231.13
2,63.59,110.65
1,62.78,172.94
1,66.51,279.49
2,65.73,211.14
1,66.77,191.62
2,67.73,174.93
2,64.79,182.70
2,68.33,131.10
2,66.78,137.54
1,68.49,157.11
1,66.61,218.58
2,70.87,120.78
2,59.92,272.67
1,65.47,203.84
1,74.95,226.69
2,65.84,147.56
1,69.55,183.81
1,67.95,164.44
2,65.74,121.73
2,68.08,159.80
2,67.94,208.81
1,68.71,200.40
1,71.27,191.36
1,71.81,220.71
2,67.71,128.59
1,74.64,219.38
1,70.90,192.81
2,60.53,129.12
1,72.82,221.43
2,61.83,122.43
2,68.90,133.97
1,69.66,178.50
1,63.56,135.74
2,63.06,204.11
2,65.18,136.14
2,68.74,201.16
1,69.31,179.05
2,61.39,148.40
1,72.60,250.16
2,62.84,109.43
2,57.87,132.75
2,61.65,268.57
1,73.25,208.69
1,70.96,198.90
1,72.47,239.00
2,60.73,103.43
2,64.46,135.53
1,71.19,238.12
2,62.30,96.98
1,72.05,215.44
2,65.55,186.21
1,68.05,165.16
1,74.27,184.92
2,65.88,143.89
2,64.34,173.17
1,70.40,208.39
1,64.13,177.27
2,61.29,134.88
2,62.75,136.93
2,70.28,161.65
2,68.28,155.88
1,75.23,232.81
1,70.24,155.41
2,64.25,141.50
1,69.14,219.50
1,69.70,164.20
2,64.41,136.58
2,68.29,185.58
1,71.92,223.50
1,66.07,138.55
1,65.54,177.89
2,61.60,181.05
2,66.43,222.25
1,68.51,147.55
1,70.19,191.17
2,71.92,248.35
1,75.04,290.89
2,67.63,122.36
2,65.68,147.11
2,65.56,149.92
2,57.43,198.68
1,69.32,172.18
1,70.14,191.39
1,66.88,174.04
1,72.22,218.69
2,69.73,160.44
1,63.88,166.01
2,71.04,119.84
2,67.72,156.59
2,59.20,178.66
2,64.31,171.01
2,65.06,235.85
2,58.15,188.69
2,65.90,140.07
2,60.25,137.23
2,63.62,124.20
1,67.01,172.59
1,67.66,189.67
1,66.40,173.30
1,74.55,174.80
1,69.60,142.05
1,68.25,196.43
2,67.55,180.64
2,59.33,145.24
1,69.21,156.16
1,67.48,151.01
2,65.60,134.83
1,68.51,212.79
2,63.32,131.23
2,66.27,188.13
1,74.43,264.76
2,65.68,144.93
2,66.19,256.48
2,65.08,119.62
1,70.22,193.88
2,71.10,134.70
2,69.52,140.24
1,64.96,190.53
2,58.69,118.08
1,67.10,169.71
1,71.65,178.89
1,67.65,175.77
2,63.42,153.98
1,72.95,239.23
2,64.16,147.92
2,60.30,188.96
1,70.61,191.34
1,73.20,182.72
1,75.33,218.48
2,63.14,170.37
2,67.71,172.34
1,73.14,239.20
2,67.68,123.52
1,73.17,143.62
2,65.17,230.39
2,67.29,139.12
1,68.75,214.45
1,75.46,281.23
1,70.79,251.07
2,64.81,123.61
2,64.50,115.39
2,66.97,131.65
2,61.48,159.64
2,68.11,166.26
1,75.13,193.67
2,57.87,177.34
2,69.67,140.71
1,70.53,275.02
2,63.67,166.72
1,71.47,185.99
1,68.79,260.93
1,62.55,210.73
1,63.67,170.97
1,75.48,219.78
2,66.20,145.84
2,63.68,136.63
1,69.64,156.44
1,66.04,180.83
1,75.37,244.45
2,62.41,131.19
2,69.55,161.10
1,68.91,184.57
1,72.90,257.74
1,67.64,130.22
2,61.31,165.00
2,64.58,168.69
2,66.13,204.53
2,67.96,186.87
2,57.49,157.20
2,64.30,140.99
2,58.75,104.01
1,73.26,179.36
2,65.72,130.52
2,63.21,130.14
1,66.69,141.69
1,65.89,145.39
1,69.33,183.02
2,65.55,171.01
1,65.83,185.31
1,67.73,205.10
1,71.07,199.27
1,70.41,166.49
2,61.15,138.66
1,69.20,157.87
1,65.32,159.23
2,61.26,219.68
2,60.95,188.79
2,62.64,181.59
2,70.21,137.28
2,61.52,136.00
2,64.86,201.20
2,63.07,185.40
2,60.15,180.99
2,59.33,138.59
1,66.90,185.29
2,65.15,149.39
1,67.77,162.48
2,66.72,140.76
2,62.53,145.10
2,64.00,160.19
2,66.37,191.50
2,63.40,127.42
2,60.53,188.78
1,72.50,174.35
2,65.27,113.08
2,59.34,211.34
1,72.62,198.07
1,67.45,200.52
1,71.10,268.97
2,61.49,123.71
2,63.46,123.50
2,63.73,216.95
2,62.90,156.99
1,63.69,178.46
2,66.45,190.08
1,70.61,188.64
1,67.99,167.19
2,68.77,157.65
1,71.19,191.94
1,63.92,182.17
1,66.95,140.63
1,72.28,220.30
1,72.27,227.55
1,70.74,173.60
1,68.23,180.14
2,61.43,235.57
1,69.65,182.19
2,63.74,238.61
2,63.10,123.48
2,69.37,165.06
1,65.93,176.84
2,67.45,109.40
2,58.16,97.23
1,70.97,219.99
2,63.19,155.06
1,68.73,190.55
2,64.40,177.36
2,70.78,194.64
2,66.44,130.46
2,62.03,118.20
2,63.56,151.53
1,70.28,211.04
1,69.02,167.07
2,60.05,258.41
1,68.01,178.25
1,68.27,154.54
1,69.86,199.54
2,64.33,115.28
1,68.87,171.36
1,70.90,214.31
1,78.22,168.56
1,69.94,157.11
1,64.73,211.84
1,66.25,160.78
1,65.76,139.35
2,66.06,128.74
2,63.90,134.62
1,73.21,211.13
1,72.50,228.73
2,64.24,129.97
1,72.62,204.23
1,68.61,156.33
2,65.92,198.81
2,64.56,158.88
2,65.08,142.58
1,72.58,211.30
2,69.47,138.06
1,69.92,200.79
2,66.08,125.41
1,76.36,169.81
2,62.32,171.54
2,65.31,117.87
2,64.81,140.11
1,71.29,194.43
1,68.76,173.04
2,60.70,188.40
1,72.54,231.19
1,70.04,157.03
1,69.16,144.88
2,64.85,157.54
2,60.92,160.51
2,65.97,149.15
1,65.64,204.08
2,70.92,148.34
2,67.66,202.30
2,65.64,167.48
2,63.78,190.49
2,58.49,174.73
2,67.86,133.55
2,69.82,167.66
1,69.44,204.33
2,60.35,139.85
2,64.17,148.97
2,61.54,121.85
2,65.15,172.90
1,70.17,191.83
1,72.11,192.50
2,68.53,200.59
1,72.46,159.43
1,67.76,171.06
2,64.98,170.76
1,69.73,215.80
1,68.92,152.60
1,72.77,201.56
2,61.61,144.01
2,63.39,136.39
2,60.55,179.50
1,73.59,252.55
1,65.11,126.90
2,68.09,136.46
2,69.34,201.10
2,59.78,165.86
2,65.08,184.65
1,62.90,147.16
1,65.88,198.67
1,66.16,164.20
2,69.12,140.75
2,60.29,129.55
2,66.90,149.14
2,61.63,178.42
1,75.93,184.07
1,64.39,160.32
1,70.80,191.04
2,59.18,137.97
2,71.02,186.56
2,61.20,118.16
1,70.80,149.85
1,69.99,230.56
2,70.18,157.61
2,68.68,131.86
2,67.54,130.39
1,68.48,200.06
2,71.74,146.31
2,60.68,107.14
2,68.29,161.94
2,61.33,129.54
2,62.70,195.16
2,61.42,197.14
2,60.15,126.70
2,66.60,210.35
1,66.43,267.53
2,60.58,206.86
1,65.74,204.61
2,63.34,163.84
2,67.03,179.43
2,65.34,176.78
2,67.16,169.83
2,68.05,136.31
1,69.78,211.42
2,60.58,157.37
1,69.68,182.98
1,69.22,192.68
1,68.52,172.43
2,58.53,125.14
2,63.71,185.76
2,62.68,135.50
2,61.44,133.38
2,60.51,130.34
1,69.69,169.05
1,74.30,192.44
1,68.23,182.97
1,72.55,264.92
1,70.81,245.64
2,60.12,131.76
2,63.50,129.64
1,68.30,159.92
2,62.10,233.09
2,66.46,159.12
1,67.12,200.51
1,68.01,165.21
2,67.59,131.00
1,71.28,150.67
2,64.40,222.66
1,72.48,176.95
2,71.70,145.55
2,59.28,218.03
1,78.18,241.40
2,63.73,214.58
1,66.13,166.16
2,65.19,129.86
2,65.81,168.02
1,69.00,259.54
2,68.44,121.71
2,65.63,214.96
2,67.40,119.95
1,73.82,167.86
2,63.61,110.58
1,71.71,160.25
1,73.93,178.52
2,65.21,191.93
2,68.52,170.12
2,62.39,170.82
1,68.91,183.74
1,73.15,269.34
1,65.64,239.54
1,72.90,142.98
2,63.58,137.72
1,71.47,158.73
2,59.54,182.45
1,75.44,238.75
2,63.58,183.51
2,66.43,122.16
1,67.58,189.77
2,67.61,229.67
2,70.91,118.32
1,71.59,184.75
1,71.07,220.19
2,61.68,120.32
2,61.83,120.99
1,64.16,139.40
2,64.01,140.48
1,70.33,189.62
2,66.77,204.70
2,62.34,164.76
2,65.59,137.09
1,72.04,250.08
2,64.23,150.29
1,71.35,185.43
1,75.70,241.58
2,66.31,151.06
1,67.81,181.03
2,65.90,124.12
2,63.12,119.87
2,60.42,109.38
2,67.07,224.67
2,63.51,141.00
1,67.12,155.55
1,75.77,230.62
2,63.21,169.34
1,75.77,233.72
1,69.01,165.99
2,66.06,159.52
1,69.74,203.21
2,66.05,198.15
2,63.33,119.05
1,72.19,180.26
2,69.52,129.69
1,70.40,159.36
2,61.33,124.43
1,69.30,173.06
2,65.51,170.62
1,72.21,170.70
1,66.66,190.91
2,64.61,163.47
2,62.11,188.01
2,65.92,148.88
2,65.58,156.52
1,72.73,215.88
2,65.90,123.65
1,72.13,157.36
1,67.64,158.99
2,63.16,134.92
2,73.28,165.46
1,74.45,193.43
2,63.92,117.06
1,72.11,178.06
1,72.49,189.34
2,60.91,178.76
1,79.13,212.57
1,68.69,220.08
1,74.95,211.76
2,61.37,134.55
2,59.25,112.60
1,64.25,164.49
2,64.61,148.72
1,72.22,183.15
2,64.42,168.65
1,70.09,172.92
2,59.70,116.34
2,66.33,124.21
2,62.53,161.05
2,64.70,141.25
1,62.67,184.74
2,61.44,124.79
1,67.40,169.67
1,68.90,166.50
1,69.70,177.45
2,61.99,161.66
1,63.12,174.31
1,69.68,179.01
1,71.72,196.90
2,63.12,135.29
2,71.69,218.48
2,61.33,133.79
2,68.14,175.38
1,71.50,195.10
1,67.64,189.18
1,70.92,163.07
1,75.76,173.57
2,64.73,154.49
1,66.40,193.70
1,69.45,178.24
2,60.92,160.87
2,61.73,109.87
2,64.66,148.21
2,63.89,169.17
1,73.01,188.28
1,67.88,185.41
2,62.42,171.04
1,63.38,212.53
2,67.66,131.86
2,60.66,167.90
2,66.36,134.38
2,62.81,177.01
2,60.27,118.94
2,65.26,149.67
2,63.28,225.24
1,73.75,236.60
2,63.73,130.87
1,67.57,178.69
1,65.39,219.81
1,74.12,226.17
2,64.14,138.03
2,62.33,129.37
2,71.80,202.95
2,67.83,167.56
2,67.35,180.15
2,69.13,150.87
2,62.32,185.80
1,70.52,170.45
1,68.36,185.18
1,67.12,245.88
2,61.25,157.41
2,66.99,145.46
2,57.22,110.45
2,65.19,201.75
2,68.93,158.60
1,67.83,230.97
2,63.47,141.01
2,61.79,225.49
1,71.32,189.00
1,72.07,200.50
2,62.60,144.55
1,72.19,201.29
1,67.45,172.73
2,64.05,169.88
2,70.30,142.71
1,71.69,177.50
1,64.88,159.05
1,73.03,201.32
2,63.80,126.74
2,60.76,119.72
1,72.21,228.97
1,74.36,165.33
1,71.22,168.07
2,63.18,159.03
2,63.96,159.86
1,72.43,186.47
2,63.27,193.86
1,65.99,217.45
1,64.21,152.04
2,61.66,161.13
1,72.67,156.62
2,68.12,179.41
1,70.88,223.73
2,66.37,159.32
2,65.15,218.96
2,66.56,144.75
1,68.97,175.69
1,63.35,136.19
2,58.76,226.25
2,67.54,158.24
1,69.90,182.60
1,72.54,204.70
2,62.40,240.42
2,64.95,161.19
1,71.59,178.06
2,65.18,111.72
2,68.93,146.23
1,70.62,284.91
2,61.22,138.24
1,66.25,140.80
2,65.87,144.35
1,66.30,174.39
2,64.65,101.87
1,69.97,181.11
2,63.09,166.74
1,66.63,212.70
2,61.34,210.49
2,60.28,136.14
2,63.82,129.79
1,76.02,207.44
1,60.50,149.67
1,72.85,239.25
2,62.63,125.55
1,66.42,216.13
1,72.78,206.01
1,69.83,180.97
2,66.10,190.09
2,63.13,142.00
2,62.76,176.83
1,69.09,167.26
2,63.26,158.20
1,68.78,201.64
2,64.39,160.06
1,71.77,247.21
2,67.18,134.78
1,70.40,205.93
1,69.10,224.50
2,61.79,148.77
2,61.06,151.01
2,64.23,140.02
2,70.70,155.20
1,68.94,142.80
1,76.74,220.73
2,63.42,112.92
2,71.12,125.34
1,71.51,198.67
2,66.18,155.51
1,68.51,192.90
1,71.03,144.65
2,64.96,125.47
1,63.96,152.23
2,66.32,130.97
1,67.28,172.41
2,60.96,196.64
1,69.41,158.73
2,62.27,120.06
1,71.69,172.65
1,69.32,180.99
2,69.98,183.84
2,63.37,247.73
2,65.60,109.79
1,64.36,184.55
2,66.75,160.31
2,65.58,164.47
2,67.82,178.40
2,64.36,126.09
1,77.25,202.22
2,59.62,119.83
2,63.06,131.84
2,58.67,159.43
1,65.80,165.36
1,66.47,162.88
2,65.70,128.33
1,75.40,181.87
2,64.55,210.95
2,65.92,274.19
1,71.21,207.52
2,66.84,197.49
2,70.85,219.80
1,77.07,210.05
1,67.59,151.46
2,62.70,102.25
2,59.47,138.77
1,70.63,190.91
2,64.89,132.80
2,67.25,177.32
1,67.66,192.67
1,72.11,194.11
2,67.92,222.18
2,62.08,121.52
2,65.85,114.65
2,64.26,202.66
2,68.64,138.69
1,70.30,204.07
2,65.22,169.29
1,67.37,159.74
1,70.16,175.28
1,73.64,188.22
1,71.95,188.50
2,66.01,120.29
2,63.58,234.21
2,61.36,253.40
2,59.53,114.48
2,59.40,210.14
2,62.28,128.75
2,60.01,131.00
1,72.63,263.70
2,58.72,154.94
2,57.61,123.53
1,65.89,151.25
2,64.20,231.27
2,66.60,144.55
1,68.83,159.77
2,64.13,166.24
2,65.49,109.51
2,68.17,182.70
2,61.34,159.34
1,69.33,142.51
2,64.52,140.31
2,62.50,140.83
1,69.69,184.17
2,66.88,239.45
2,58.01,225.81
2,67.57,126.45
2,65.94,162.50
1,74.39,293.93
1,65.31,202.81
2,64.61,158.83
1,75.90,203.87
2,69.30,130.81
1,74.41,197.49
2,67.52,131.44
2,68.07,131.29
1,72.74,203.28
1,65.53,194.19
2,61.14,192.40
1,70.09,196.29
2,60.67,106.66
2,59.95,143.39
2,64.90,221.23
1,73.78,185.56
1,71.19,168.54
1,72.47,195.00
1,75.03,163.53
1,68.60,161.18
2,58.68,109.42
2,67.21,139.15
2,65.54,119.08
2,63.96,156.61
2,66.55,201.29
2,59.62,142.09
2,61.80,231.31
2,65.77,172.30
1,63.43,176.68
2,59.94,217.95
2,66.58,218.01
2,63.55,144.44
2,62.50,129.82
1,68.50,139.11
1,69.47,192.74
1,62.33,172.76
2,58.98,250.53
2,72.91,231.79
2,65.20,169.09
2,61.46,149.46
2,57.34,128.07
2,62.97,145.56
1,68.07,175.64
2,67.84,248.92
2,62.87,149.04
2,66.46,172.91
1,72.38,199.46
2,70.29,127.03
2,63.73,169.20
1,68.87,180.65
2,67.85,159.95
1,74.52,250.58
1,71.22,152.32
2,61.33,140.08
1,72.36,177.95
2,63.66,118.50
2,66.58,185.09
1,65.60,169.11
1,70.55,202.41
2,67.57,151.15
2,66.62,133.55
2,68.39,198.02
1,69.40,180.54
2,68.03,191.56
2,65.02,139.28
1,69.07,174.78
2,61.01,117.83
2,61.15,133.35
2,60.98,109.58
1,63.36,140.71
1,75.05,226.36
1,63.61,137.52
2,61.39,248.03
1,78.00,276.27
2,63.73,157.15
1,68.90,158.68
1,67.97,178.40
1,69.35,187.15
1,72.39,181.01
2,62.13,201.48
1,65.31,161.95
1,74.35,280.27
2,60.05,169.04
2,69.10,128.71
2,62.65,163.05
1,66.49,201.57
1,65.90,209.04
2,66.91,138.28
1,67.74,188.69
1,71.37,140.75
1,67.44,160.85
2,65.77,156.85
1,68.55,190.55
2,65.86,148.55
