Day of Week,Director,Genre,Movie Title,Release Date,Studio,Adjusted Gross ($mill),Budget ($mill),Gross ($mill),IMDb Rating,MovieLens Rating,Overseas ($mill),Overseas%,Profit ($mill),Profit%,Runtime (min),US ($mill),Gross % US
Friday,Chris Columbus,fantasy,Percy Jackson & The Olympians: The Lightning Thief,12/02/2010,Fox,247,95,226.5,5.9,3.01,137.7,60.8,131.5,138.4,118,88.8,39.2
Friday,Paul W.S. Anderson,action,Resident Evil: Retribution,14/09/2012,Screen Gems,248.8,65,240.2,5.3,3,197.8,82.4,175.2,269.5,96,42.3,17.6
Friday,M. Night Shyamalan,action,After Earth,31/05/2013,Sony,248.9,130,243.8,4.9,2.43,183.3,75.2,113.8,87.5,100,60.5,24.8
Friday,Judd Apatow,comedy,Knocked Up,1/06/2007,Universal,251.3,27.5,219.1,7.1,3.59,70.3,32.1,191.6,696.7,129,148.8,67.9
Friday,Pierre Morel,action,Taken,30/01/2009,Fox,251.4,25,226.8,7.9,3.85,81.8,36.1,201.8,807.2,93,145,63.9
Friday,Dennis Dugan,comedy,Grown Ups 2,12/07/2013,Sony,252.1,80,247,5.4,2.34,113.3,45.9,167,208.8,101,133.7,54.1
Friday,Peter Hewitt,comedy,Garfield: The Movie,11/06/2004,Fox,252.8,50,200.8,4.9,2.27,125.4,62.5,150.8,301.6,80,75.4,37.5
Friday,Tim Burton,comedy,Dark Shadows,11/05/2012,WB,254.3,150,245.5,6.2,3.03,165.8,67.5,95.5,63.7,113,79.7,32.5
Friday,Peter Segal,action,Get Smart,20/06/2008,WB,254.8,80,230.7,6.5,3.27,100.4,43.5,150.7,188.4,110,130.3,56.5
Wednesday,Antoine Fuqua,action,King Arthur,7/07/2004,Buena Vista Studios,256.3,90,203.6,6.3,3.05,151.7,74.5,113.6,126.2,126,51.9,25.5
Friday,David O. Russell,drama,American Hustle,13/12/2013,Sony,256.4,40,251.2,6.3,2.81,101.1,40.2,211.2,528,138,150.1,59.8
Friday,John R. Leonetti,horror,Annabelle,3/10/2014,WB/New Line,256.5,6.5,255.3,5.4,2.41,171,67,248.8,3827.7,99,84.3,33
Friday,Scott Derrickson,drama,The Day the Earth Stood Still (2008),12/12/2008,Fox,257.5,80,233.1,5.5,2.81,153.7,66,153.1,191.4,104,79.4,34
Friday,Ridley Scott,action,Kingdom of Heaven,6/05/2005,Fox,257.8,110,211.7,7.2,3.47,164.3,77.6,101.7,92.5,145,47.4,22.4
Saturday,Rob Letterman,adventure,Gulliver's Travels,25/12/2010,Fox,258.9,112,237.4,4.9,2.53,194.6,82,125.4,112,85,42.8,18
Friday,Paul King,comedy,Paddington,16/01/2015,StudioCanal,259.5,55,259.5,7.3,2.89,183.3,70.6,204.5,371.8,95,76.2,29.4
Friday,Gore Verbinski,animation,Rango,4/03/2011,Paramount Pictures,259.8,135,245.7,7.3,3.51,122.2,49.7,110.7,82,107,123.5,50.3
Friday,Mark Steven Johnson,action,Ghost Rider,16/02/2007,Sony,262.4,120,228.7,5.2,2.19,112.9,49.4,108.7,90.6,114,115.8,50.6
Friday,Brad Silberling,adventure,Lemony Snicket's A Series of Unfortunate Events,17/12/2004,Paramount Pictures,263.2,100,209.1,6.8,3.37,90.4,43.3,109.1,109.1,108,118.6,56.7
Friday,Steve Bendelack,comedy,Mr. Bean's Holiday,24/08/2007,Universal,263.5,25,229.7,6.3,2.84,196.4,85.5,204.7,818.8,90,33.3,14.5
Wednesday,Jason Reitman,comedy,Juno,5/12/2007,Fox Searchlight Pictures,265.5,7,231.4,6.3,2.97,87.9,38,224.4,3205.7,96,143.5,62
Tuesday,Gore Verbinski,action,The Lone Ranger,2/07/2013,Buena Vista Studios,265.9,225,260.5,6.5,3.03,171.2,65.7,35.5,15.8,149,89.3,34.3
Friday,Pete Docter,animation,Inside Out,19/06/2015,Buena Vista Studios,266.6,175,266.6,8.8,4.15,81.5,30.6,91.6,52.3,102,185.1,69.4
Friday,Eric Brevig,action,Journey to the Center of the Earth,11/07/2008,WB/New Line,267.3,45,242,5.8,2.87,140.3,58,197,437.8,93,101.7,42
Thursday,David Frankel,comedy,Marley and Me,25/12/2008,Fox,268.1,60,242.7,6.2,2.96,99.6,41,182.7,304.5,115,143.2,59
Friday,Clark Johnson,action,S.W.A.T.,8/08/2003,Sony,268.4,70,207.7,6,3.01,90.8,43.7,137.7,196.7,117,116.9,56.3
Friday,Martin Scorsese,biography,The Aviator,17/12/2004,MiraMax,269,110,213.7,7.5,3.61,111.1,52,103.7,94.3,170,102.6,48
Friday,Ridley Scott,action,Exodus: Gods and Kings,12/12/2014,Fox,269.2,140,268,6.1,2.66,203,75.7,128,91.4,150,65,24.3
Friday,"Phil Lord, Chris Miller",animation,Cloudy with a Chance of Meatballs,18/09/2009,Sony,269.4,100,243,7,3.49,118.1,48.6,143,143,90,124.9,51.4
Friday,Nicholas Stoller,comedy,Neighbors,9/05/2014,Universal,269.4,18,268.2,6.4,3.09,118,44,250.2,1390,97,150.2,56
Wednesday,Lawrence Guterman,action,Cats & Dogs,4/07/2001,WB,269.5,60,200.7,5.2,2.7,107.3,53.5,140.7,234.5,87,93.4,46.5
Wednesday,Dany Boon,drama,Bienvenue chez les Ch'tis,20/02/2008,Path_ Distribution,270.7,15.3,245.1,7.1,3.75,245.1,100,229.8,1502,106,0,0
Friday,Robert Schwentke,action,Flightplan,23/09/2005,Buena Vista Studios,272,55,223.4,6.2,3.08,133.7,59.8,168.4,306.2,98,89.7,40.2
Wednesday,Clint Eastwood,drama,Million Dollar Baby,15/12/2004,WB,272.9,30,216.8,8.1,3.87,116.3,53.6,186.8,622.7,132,100.5,46.4
Friday,Cameron Crowe,mystery,Vanilla Sky,14/12/2001,Paramount Pictures,273.1,70,203.4,6.9,3.36,102.8,50.5,133.4,190.6,136,100.6,49.5
Friday,Peter Weir,action,Master and Commander: The Far Side of the World,14/11/2003,Fox,274,135,212,7.4,3.64,118.1,55.7,77,57,138,93.9,44.3
Friday,Chris Wedge,animation,Epic,24/05/2013,Fox,274,100,268.4,6.7,1.49,160.9,59.9,168.4,168.4,102,107.5,40.1
Friday,Rob Minkoff,animation,Mr. Peabody & Sherman,7/03/2014,Fox,274.1,145,272.9,6.9,3.4,161.4,59.1,127.9,88.2,92,111.5,40.9
Friday,Michael Mann,crime,Collateral,6/08/2004,DreamWorks,274.2,60,217.8,7.6,3.7,116.8,53.6,157.8,263,120,101,46.4
Thursday,J. J. Abrams,thriller,Super 8,9/06/2011,Paramount Pictures,275,50,260.1,7.1,3.53,133.1,51.2,210.1,420.2,112,127,48.8
Wednesday,"Ethan Coen, Joel Coen",adventure,True Grit,22/12/2010,Paramount Pictures,275.2,35,252.3,7.7,3.87,81,32.1,217.3,620.9,110,171.2,67.9
Wednesday,Rawson Marshall Thurber,comedy,We're the Millers,7/08/2013,WB,275.6,37,270,7.1,3.43,119.6,44.3,233,629.7,110,150.4,55.7
Friday,Steven Spielberg,drama,The Terminal,18/06/2004,DreamWorks,276.2,75,219.4,6.1,3.18,141.5,64.5,144.4,192.5,128,77.9,35.5
Friday,Brett Ratner,crime,Red Dragon,4/10/2002,Universal,276.5,78,209.2,7.2,3.57,116,55.5,131.2,168.2,124,93.1,44.5
Friday,Elizabeth Banks,comedy,Pitch Perfect 2,15/05/2015,Universal,276.9,29,276.9,6.9,3.3,95.9,34.6,247.9,854.8,115,181.1,65.4
Friday,Rob Cohen,action,The Fast and the Furious,22/06/2001,Universal,278.4,38,207.3,6.7,3.16,62.8,30.3,169.3,445.5,106,144.5,69.7
Friday,Kenny Ortega,comedy,High School Musical 3: Senior Year,24/10/2008,Buena Vista Studios,279.3,11,252.9,4.3,2.33,162.3,64.2,241.9,2199.1,112,90.6,35.8
Wednesday,Michael Moore,documentary,Fahrenheit 9/11,23/06/2004,Lionsgate Films,280,6,222.4,7.5,3.57,103.3,46.4,216.4,3606.7,122,119.2,53.6
Friday,"Cody Cameron, Kris Pearn",animation,Cloudy with a Chance of Meatballs 2,27/09/2013,Sony,280,78,274.3,6.5,3.21,154.5,56.3,196.3,251.7,95,119.8,43.7
Friday,Frank Coraci,comedy,Click,23/06/2006,Revolution Studios,280.4,82.5,237.7,6.4,3.11,100.3,42.2,155.2,188.1,107,137.4,57.8
Friday,Francis Lawrence,fantasy,Constantine,18/02/2005,WB,281.2,100,230.9,7.6,3.35,154.9,67.1,130.9,130.9,121,76,32.9
Friday,Alejandro Amenˆbar,horror,The Others,10/08/2001,MiraMax,281.8,17,209.9,7.6,3.71,113.4,54,192.9,1134.7,101,96.5,46
Friday,Doug Liman,action,The Bourne Identity,14/06/2002,Universal,282.9,60,214,7.9,3.9,92.4,43.2,154,256.7,119,121.7,56.8
Friday,Jon Favreau,comedy,Elf,7/11/2003,New Line Cinema,284.8,32,220.4,6.9,3.41,47,21.3,188.4,588.8,97,173.4,78.7
Friday,Steven Spielberg,biography,Lincoln,9/11/2012,Buena Vista Studios,285.1,65,275.3,7.4,3.74,93.1,33.8,210.3,323.5,150,182.2,66.2
Friday,David Zucker,comedy,Scary Movie 3,24/10/2003,Dimension Films,285.2,45,220.7,5.4,2.46,110.7,50.2,175.7,390.4,84,110,49.8
Wednesday,James Mangold,action,Knight & Day,23/06/2010,Fox,285.6,117,261.9,6.3,3.27,185.5,70.8,144.9,123.9,109,76.4,29.2
Friday,Tony Gilroy,action,The Bourne Legacy,10/08/2012,Universal,286,125,276.1,6.7,3.49,162.9,59,151.1,120.9,135,113.2,41
Friday,Hayao Miyazaki,animation,Howl's Moving Castle,10/06/2005,Buena Vista Studios,286.4,24,235.2,8.2,4.07,230.5,98,211.2,880,119,4.7,2
Wednesday,Steven Soderbergh,crime,Traffic,27/12/2000,USA,286.6,48,207.5,7.7,3.82,83.4,40.2,159.5,332.3,147,124.1,59.8
Wednesday,David Soren,animation,Turbo,17/07/2013,Fox,288.5,135,282.6,6.5,2.94,199.5,70.6,147.6,109.3,96,83,29.4
Wednesday,Kenny Ortega,documentary,Michael Jackson's This Is It,28/10/2009,Sony,289.5,60,261.2,7.6,3.37,189.1,72.4,201.2,335.3,111,72.1,27.6
Friday,Neil Burger,adventure,Divergent,21/03/2014,Lionsgate/Summit,290,85,288.7,6.8,3.41,137.8,47.7,203.7,239.7,139,150.9,52.3
Friday,Walt Becker,action,Wild Hogs,2/03/2007,Buena Vista Studios,290.9,60,253.6,5.9,2.79,85.4,33.7,193.6,322.7,100,168.3,66.3
Friday,Neill Blomkamp,action,Elysium,9/08/2013,TriStar,292.1,120,286.1,6.7,3.29,193.1,67.5,166.1,138.4,109,93.1,32.5
Friday,Joseph Kosinski,action,Oblivion,19/04/2013,Universal,292.2,120,286.2,7,3.5,197.1,68.9,166.2,138.5,124,89.1,31.1
Friday,Donald Petrie,comedy,Miss Congeniality,22/12/2000,WB,293.7,45,212.7,6.1,3.04,105.9,49.8,167.7,372.7,109,106.8,50.2
Friday,Tim Burton,fantasy,Sleepy Hollow,19/11/1999,Paramount Pictures,294.2,70,206.1,7.6,3.55,105,51,136.1,194.4,105,101.1,49
Friday,Stefen Fangmeier,action,Eragon,15/12/2006,Fox,294.3,100,249.5,5.1,2.63,174.5,69.9,149.5,149.5,104,75,30.1
Friday,Andrew Stanton,sci-fi,John Carter,9/03/2012,Buena Vista Studios,294.3,263.7,284.1,6.6,3.27,211.1,74.3,20.4,7.7,132,73.1,25.7
Friday,Ang Lee,action,"Crouching Tiger, Hidden Dragon",8/12/2000,Sony Picture Classics,294.8,15,213.5,7.9,3.9,85.4,40,198.5,1323.3,120,128.1,60
Friday,Tom Shadyac,comedy,Patch Adams,25/12/1998,Universal,295.1,90,202.3,6.6,3.15,67.3,33.3,112.3,124.8,115,135,66.7
Friday,Robert Schwentke,action,The Divergent Series: Insurgent,20/03/2015,Lionsgate/Summit,295.1,110,295.1,6.9,3.17,165.1,55.9,185.1,168.3,119,130,44.1
Friday,Brett Ratner,action,Rush Hour 3,10/08/2007,New Line Cinema,296,180,258,6.2,2.97,117.9,45.7,78,43.3,91,140.1,54.3
Wednesday,"Ron Clements, John Musker",animation,The Princess and the Frog,25/11/2009,Buena Vista Studios,296,105,267,7.2,3.59,162.6,60.9,162,154.3,97,104.4,39.1
Friday,Dennis Dugan,comedy,Grown Ups,25/06/2010,Sony,296,75,271.4,6,2.81,109.4,40.3,196.4,261.9,102,162,59.7
Wednesday,Roland Emmerich,action,The Patriot,28/06/2000,Sony,297.3,110,215.3,6.1,3.22,102,47.4,105.3,95.7,165,113.3,52.6
Friday,Martin Campbell,action,Vertical Limit,8/12/2000,Sony,297.9,75,215.7,5.8,2.85,146.4,67.9,140.7,187.6,124,69.2,32.1
Friday,Roland Emmerich,action,"10,000 B.C.",7/03/2008,WB,298,105,269.8,5,2.53,175,64.9,164.8,157,109,94.8,35.1
Friday,Clint Eastwood,drama,Gran Torino,12/12/2008,WB,298.2,33,270,8.2,3.99,121.9,45.1,237,718.2,116,148.1,54.9
Friday,Jesse Dylan,comedy,American Wedding,1/08/2003,Universal,299.1,55,231.4,7.6,3.85,126.9,54.8,176.4,320.7,96,104.6,45.2
Friday,Sylvester Stallone,action,The Expendables,13/08/2010,Lionsgate,299.4,82,274.5,6.5,3.01,171.4,62.4,192.5,234.8,103,103.1,37.6
Wednesday,Peter Hyams,action,End of Days,24/11/1999,Universal,302.6,100,212,5.7,2.68,145.1,68.4,112,112,121,66.9,31.6
Friday,Jon Amiel,crime,Entrapment,30/04/1999,Fox,303.2,66,212.4,6.2,3.16,124.7,58.7,146.4,221.8,113,87.7,41.3
Friday,Florian Henckel von Donnersmarck,action,The Tourist,10/12/2010,Sony,303.5,100,278.3,6,3.08,210.7,75.7,178.3,178.3,103,67.6,24.3
Friday,Paul Feig,comedy,Bridesmaids,13/05/2011,Universal,304.9,32.5,288.4,6.8,3.53,119.3,41.4,255.9,787.4,125,169.1,58.6
Friday,John Singleton,action,2 Fast 2 Furious,6/06/2003,Universal,305.5,76,236.4,5.8,2.5,109.2,46.2,160.4,211.1,107,127.2,53.8
Friday,Ridley Scott,drama,American Gangster,2/11/2007,Universal,305.7,100,266.5,7.8,3.83,136.3,51.2,166.5,166.5,157,130.2,48.8
Friday,Zack Snyder,action,Superman,14/06/2013,WB,306.4,55,300.2,7.3,3.38,166,55.3,245.2,445.8,143,134.2,44.7
Friday,Larry Charles,comedy,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,3/11/2006,Fox,308.6,18,261.6,7.3,3.5,133.1,50.9,243.6,1353.3,84,128.5,49.1
Friday,Josh Boone,drama,The Fault in our Stars,6/06/2014,Fox,308.6,12,307.2,7.9,3.58,182.4,59.4,295.2,2460,126,124.9,40.6
Wednesday,"Peter Lord, Nick Park",animation,Chicken Run,21/06/2000,DreamWorks,310.4,42,224.8,7.1,3.58,118,52.5,182.8,435.2,84,106.8,47.5
Thursday,John Moore,action,A Good Day to Die Hard,14/02/2013,Fox,311,92,304.7,5.3,2.59,237.3,77.9,212.7,231.2,98,67.3,22.1
Friday,"Paul Tibbitt, Mike Mitchell",animation,The SpongeBob Movie: Sponge Out of Water,6/02/2015,Paramount Pictures,311.6,74,311.6,6.2,2.25,148.6,47.7,237.6,321.1,92,163,52.3
Friday,Peter Berg,action,Battleship,18/05/2012,Universal,313.8,209,303,5.9,2.83,237.6,78.4,94,45,131,65.4,21.6
Thursday,Michael Patrick King,comedy,Sex and the City 2,27/05/2010,WB/New Line,314.4,95,288.3,4.2,2.32,193,66.9,193.3,203.5,146,95.3,33.1
Friday,Jonathan Liebesman,action,Wrath of the Titans,30/03/2012,WB,316.2,150,305.3,5.8,2.78,221.6,72.6,155.3,103.5,99,83.7,27.4
Friday,Simon West,action,The Expendables 2,17/08/2012,Lionsgate,316.3,100,305.4,6.7,3.08,220.4,72.2,205.4,205.4,103,85,27.8
Friday,Shawn Levy,action,Real Steel,7/10/2011,Buena Vista Studios,316.4,110,299.3,6.3,3.28,213.8,71.4,189.3,172.1,127,85.5,28.6
Friday,Steven Spielberg,adventure,A.I. Artificial Intelligence,29/06/2001,WB,316.8,90,235.9,7.1,3.21,157.3,66.7,145.9,162.1,146,78.6,33.3
Wednesday,Barry Sonnenfeld,action,Wild Wild West,30/06/1999,WB,317,175,222.1,4.8,2.31,108.3,48.8,47.1,26.9,106,113.8,51.2
Friday,Ang Lee,action,Hulk,20/06/2003,Universal,317.2,137,245.4,5.7,2.69,113.2,46.1,108.4,79.1,138,132.2,53.9
Friday,"Chris Wedge, Carlos Saldanha",animation,Robots,11/03/2005,Fox,317.4,80,260.7,6.3,3.28,132.5,50.8,180.7,225.9,91,128.2,49.2
Wednesday,Peter Ramsey,animation,Rise of the Guardians,21/11/2012,Pacific Data/DreamWorks,317.9,145,306.9,7.3,3.6,203.5,66.3,161.9,111.7,97,103.4,33.7
Friday,"Brenda Chapman, Steve Hickner, Simon Wells",animation,The Prince of Egypt,18/12/1998,DreamWorks,318.9,60,218.6,7,3.42,117.2,53.6,158.6,264.3,99,101.4,46.4
Friday,Richard Curtis,comedy,Love Actually,7/11/2003,Universal,319.1,45,246.9,7.7,3.8,187.2,75.8,201.9,448.7,135,59.7,24.2
Friday,Phillip Noyce,action,Salt,23/07/2010,Sony,320.1,110,293.5,6.4,3.33,175.2,59.7,183.5,166.8,100,118.3,40.3
Friday,Curtis Hanson,drama,8 Mile,8/11/2002,Universal,321.1,41,242.9,6.9,3.25,126.1,51.9,201.9,492.4,110,116.8,48.1
Friday,Martin Scorsese,drama,Shutter Island,19/02/2010,Paramount Pictures,321.5,80,294.8,8.1,3.91,166.8,56.6,214.8,268.5,138,128,43.4
Friday,Paul W.S. Anderson,action,Resident Evil: Afterlife,10/09/2010,Screen Gems,323,57.5,296.2,5.9,3.1,236.1,79.7,238.7,415.1,97,60.1,20.3
Friday,M. Night Shyamalan,mystery,The Village,30/07/2004,Buena Vista Studios,323.2,71.7,256.7,6.5,3.26,142.5,55.5,185,258,108,114.2,44.5
Friday,"Aaron Blaise, Robert A. Walker",animation,Brother Bear,24/10/2003,Buena Vista Studios,323.6,18,250.4,6.7,3.17,165.1,65.9,232.4,1291.1,82,85.3,34.1
Friday,Hoyt Yeatman,action,G-Force,24/07/2009,Buena Vista Studios,324.6,82.5,292.8,5.1,2.55,173.4,59.2,210.3,254.9,88,119.4,40.8
Friday,James Wan,horror,The Conjuring,19/07/2013,WB,324.6,20,318,7.5,3.59,180.6,56.8,298,1490,112,137.4,43.2
Friday,Olivier Megaton,action,Taken 3,9/01/2015,Fox,325.8,48,325.8,6.1,2.88,236.5,72.6,277.8,578.8,109,89.3,27.4
Friday,H.B. Halicki,action,Gone in 60 Seconds,9/05/2000,Buena Vista Studios,327.6,90,237.2,6.5,3.07,135.6,57.1,147.2,163.6,105,101.6,42.9
Friday,"Steve Martino, Jimmy Hayward",animation,Dr. Seuss' Horton Hears a Who!,14/03/2008,Fox,328.2,85,297.1,6.9,3.45,142.6,48,212.1,249.5,86,154.5,52
Wednesday,Mel Gibson,action,Braveheart,24/05/1995,Paramount Pictures,328.3,72,210.4,8.4,4.05,134.8,64.1,138.4,192.2,177,75.6,35.9
Friday,Gore Verbinski,horror,The Ring,18/10/2002,DreamWorks,329.5,48,249.3,7.1,3.43,120.2,48.2,201.3,419.4,115,129.1,51.8
