Acne,Food,Frequency
1,Ice cream,26
6,Chocolate,8
0,Burgers,8
5,Chocolate,18
5,Soft Drink,8
0,Lollies,4
7,Pure Sugar,16
0,Lollies,8
0,Chocolate,8
0,Ice cream,18
0,Lollies,25
3,Milkshakes,7
1,Chocolate,22
0,Cake,18
8,Burgers,11
2,Donuts,15
1,Chocolate,28
3,Milkshakes,15
6,Lollies,14
0,Milkshakes,11
8,Cake,19
3,Lollies,22
3,Donuts,33
3,Lollies,24
1,Ice cream,16
0,Ice cream,22
2,Lollies,28
1,Ice cream,9
1,Pure Sugar,16
3,Soft Drink,14
7,Lollies,6
3,Donuts,15
9,Milkshakes,4
5,Soft Drink,20
9,Pure Sugar,26
0,Milkshakes,22
3,Cheese Pizza,14
1,Brownies,7
5,Lollies,2
2,Ice cream,19
2,Chocolate,19
0,Chocolate,5
1,Cheese Pizza,9
4,Chocolate,25
2,Cheese Pizza,20
2,Ice cream,28
4,Milkshakes,10
1,Ice cream,19
0,Brownies,9
10,Brownies,21
0,Brownies,1
0,Lollies,18
4,Ice cream,21
4,Lollies,6
1,Chocolate,16
0,Brownies,15
1,Brownies,11
0,Ice cream,13
10,Brownies,14
4,Milkshakes,1
2,Lollies,20
10,Brownies,14
3,Pure Sugar,8
4,Ice cream,23
2,Chocolate,17
7,Pure Sugar,20
10,Ice cream,1
2,Cheese Pizza,12
0,Donuts,4
2,Brownies,17
6,Chocolate,15
0,Brownies,15
10,Burgers,25
4,Donuts,22
1,Chocolate,19
2,Donuts,9
1,Cheese Pizza,7
2,Burgers,14
4,Ice cream,26
4,Soft Drink,9
1,Brownies,1
0,Chocolate,20
1,Pure Sugar,15
1,Donuts,16
2,Cheese Pizza,15
10,Burgers,20
10,Cake,10
0,Brownies,15
9,Brownies,16
10,Donuts,8
1,Lollies,7
5,Brownies,21
0,Cheese Pizza,20
2,Cheese Pizza,4
3,Donuts,25
0,Soft Drink,7
3,Cheese Pizza,26
5,Brownies,18
4,Brownies,15
3,Ice cream,14
0,Lollies,24
10,Ice cream,15
0,Milkshakes,5
3,Cheese Pizza,9
0,Ice cream,1
3,Cheese Pizza,15
8,Burgers,25
3,Cake,11
9,Chocolate,6
4,Brownies,24
2,Pure Sugar,10
2,Milkshakes,29
0,Cheese Pizza,19
10,Burgers,6
1,Brownies,19
2,Lollies,26
0,Ice cream,6
1,Donuts,14
0,Cake,14
0,Burgers,26
6,Ice cream,14
2,Pure Sugar,19
7,Burgers,13
1,Ice cream,12
1,Ice cream,12
7,Cake,20
0,Donuts,14
6,Donuts,18
0,Donuts,24
4,Cake,10
3,Ice cream,8
6,Milkshakes,14
5,Lollies,18
3,Ice cream,19
3,Donuts,12
5,Milkshakes,15
3,Cake,18
3,Cake,9
2,Burgers,28
10,Soft Drink,20
1,Lollies,25
2,Lollies,3
2,Brownies,1
3,Soft Drink,3
4,Burgers,11
1,Brownies,14
3,Pure Sugar,6
10,Chocolate,20
1,Lollies,35
0,Burgers,10
1,Burgers,19
3,Chocolate,13
2,Brownies,32
2,Soft Drink,26
4,Soft Drink,10
9,Chocolate,12
0,Ice cream,16
1,Brownies,2
1,Brownies,17
0,Pure Sugar,18
8,Pure Sugar,9
10,Chocolate,20
10,Donuts,28
1,Ice cream,14
0,Cake,11
0,Ice cream,19
6,Lollies,21
10,Soft Drink,17
1,Soft Drink,11
10,Lollies,12
6,Soft Drink,4
1,Pure Sugar,8
7,Lollies,16
4,Burgers,10
2,Burgers,12
2,Burgers,2
10,Lollies,18
1,Burgers,13
4,Cake,23
6,Cake,13
1,Cheese Pizza,15
2,Soft Drink,10
4,Cheese Pizza,1
3,Cake,10
5,Lollies,6
7,Ice cream,7
3,Soft Drink,14
10,Donuts,3
1,Burgers,4
0,Donuts,5
1,Donuts,13
10,Lollies,21
5,Chocolate,10
0,Donuts,30
10,Soft Drink,14
4,Donuts,6
6,Milkshakes,13
0,Chocolate,13
5,Cheese Pizza,17
2,Chocolate,30
6,Milkshakes,24
5,Pure Sugar,16
0,Brownies,25
10,Pure Sugar,26
3,Ice cream,26
1,Ice cream,10
1,Brownies,28
6,Brownies,18
10,Cake,12
5,Chocolate,4
3,Ice cream,1
10,Brownies,14
4,Cake,12
2,Cake,22
1,Milkshakes,13
0,Soft Drink,16
8,Brownies,18
5,Pure Sugar,10
10,Cake,12
0,Chocolate,9
1,Pure Sugar,29
2,Donuts,16
10,Chocolate,4
3,Milkshakes,8
4,Cheese Pizza,11
1,Pure Sugar,18
1,Lollies,17
1,Pure Sugar,18
0,Cheese Pizza,4
10,Ice cream,33
2,Milkshakes,22
0,Ice cream,14
1,Cake,10
0,Brownies,5
1,Burgers,25
5,Chocolate,22
1,Brownies,6
4,Burgers,10
3,Pure Sugar,5
0,Cake,21
5,Milkshakes,23
7,Milkshakes,11
10,Pure Sugar,8
10,Soft Drink,3
4,Ice cream,21
1,Ice cream,23
0,Donuts,5
1,Lollies,12
5,Burgers,16
10,Lollies,22
0,Ice cream,8
3,Burgers,8
2,Milkshakes,1
0,Cake,5
4,Lollies,14
8,Cake,26
2,Soft Drink,7
2,Cheese Pizza,10
0,Milkshakes,10
0,Burgers,9
3,Chocolate,20
5,Chocolate,7
1,Milkshakes,9
2,Ice cream,25
10,Milkshakes,18
0,Soft Drink,6
1,Milkshakes,19
0,Donuts,13
6,Donuts,16
10,Cheese Pizza,7
0,Cheese Pizza,12
5,Cake,14
1,Brownies,15
1,Brownies,13
10,Cake,11
4,Chocolate,23
6,Brownies,14
2,Cheese Pizza,1
1,Brownies,17
0,Donuts,6
3,Brownies,22
4,Ice cream,23
10,Cheese Pizza,16
0,Soft Drink,20
5,Cake,27
3,Pure Sugar,19
2,Donuts,7
5,Lollies,22
3,Chocolate,19
0,Brownies,18
2,Lollies,11
10,Cake,20
5,Brownies,19
5,Pure Sugar,21
10,Pure Sugar,24
5,Soft Drink,5
7,Cake,23
2,Cheese Pizza,19
2,Donuts,21
10,Pure Sugar,29
5,Soft Drink,10
2,Burgers,18
2,Donuts,23
0,Cake,8
1,Soft Drink,23
2,Ice cream,1
1,Burgers,3
10,Cake,22
0,Ice cream,30
2,Cheese Pizza,11
0,Cheese Pizza,20
1,Cake,24
1,Donuts,12
3,Soft Drink,14
8,Donuts,16
3,Cheese Pizza,12
4,Chocolate,15
1,Ice cream,20
1,Brownies,15
2,Pure Sugar,14
3,Soft Drink,15
3,Pure Sugar,14
1,Burgers,12
0,Chocolate,1
1,Ice cream,9
6,Milkshakes,11
3,Soft Drink,22
0,Pure Sugar,26
1,Pure Sugar,14
9,Pure Sugar,11
2,Chocolate,1
7,Chocolate,21
10,Milkshakes,10
1,Brownies,32
0,Pure Sugar,24
5,Cheese Pizza,27
2,Donuts,10
8,Ice cream,6
0,Ice cream,8
1,Lollies,9
2,Soft Drink,17
0,Milkshakes,14
1,Lollies,7
0,Soft Drink,22
6,Ice cream,12
0,Pure Sugar,11
3,Milkshakes,15
1,Soft Drink,16
0,Soft Drink,16
0,Chocolate,19
4,Cake,8
8,Brownies,6
0,Milkshakes,8
1,Pure Sugar,17
2,Ice cream,8
10,Burgers,10
2,Cheese Pizza,6
6,Ice cream,17
1,Lollies,29
2,Donuts,1
6,Brownies,9
5,Soft Drink,9
1,Pure Sugar,18
1,Milkshakes,12
3,Chocolate,6
10,Brownies,16
0,Ice cream,3
5,Donuts,4
5,Burgers,1
7,Burgers,9
8,Soft Drink,5
8,Cake,3
9,Brownies,18
10,Cheese Pizza,21
1,Pure Sugar,21
10,Cake,6
10,Ice cream,8
4,Burgers,21
4,Ice cream,1
1,Cheese Pizza,15
5,Pure Sugar,25
3,Cake,23
6,Ice cream,15
0,Chocolate,10
6,Burgers,22
5,Donuts,30
3,Ice cream,7
1,Cake,9
0,Burgers,18
2,Burgers,10
0,Brownies,16
5,Chocolate,26
10,Brownies,1
6,Ice cream,19
1,Cheese Pizza,12
0,Donuts,17
0,Milkshakes,29
4,Ice cream,7
0,Lollies,2
5,Cake,17
3,Chocolate,23
2,Ice cream,9
5,Milkshakes,2
10,Chocolate,15
0,Ice cream,16
3,Cheese Pizza,2
1,Soft Drink,21
0,Donuts,14
0,Lollies,3
3,Donuts,15
0,Pure Sugar,19
0,Donuts,1
0,Soft Drink,11
2,Ice cream,32
2,Lollies,26
9,Pure Sugar,19
2,Donuts,25
0,Cake,1
1,Pure Sugar,29
10,Donuts,13
3,Pure Sugar,23
1,Soft Drink,15
8,Lollies,17
1,Cake,18
8,Lollies,19
0,Ice cream,20
10,Donuts,28
10,Milkshakes,19
1,Cake,26
0,Milkshakes,13
1,Cheese Pizza,19
0,Cheese Pizza,18
1,Lollies,21
3,Milkshakes,14
2,Ice cream,1
5,Cheese Pizza,1
4,Chocolate,1
1,Milkshakes,33
1,Brownies,18
6,Chocolate,29
3,Milkshakes,31
0,Cake,19
3,Cheese Pizza,9
0,Burgers,15
8,Donuts,10
0,Cheese Pizza,21
4,Burgers,17
9,Lollies,21
0,Cake,8
3,Soft Drink,23
10,Donuts,18
1,Lollies,7
1,Lollies,8
2,Burgers,1
10,Cheese Pizza,5
6,Pure Sugar,15
1,Lollies,6
1,Lollies,12
0,Soft Drink,6
2,Chocolate,7
6,Donuts,16
0,Chocolate,27
3,Lollies,10
2,Brownies,26
4,Ice cream,16
2,Milkshakes,12
5,Chocolate,5
1,Milkshakes,16
5,Brownies,26
10,Brownies,24
3,Soft Drink,14
4,Chocolate,20
2,Burgers,22
2,Brownies,15
0,Lollies,8
4,Ice cream,7
3,Burgers,13
3,Ice cream,20
1,Brownies,9
2,Cheese Pizza,24
2,Pure Sugar,9
4,Cheese Pizza,6
5,Ice cream,2
1,Cheese Pizza,15
3,Lollies,12
1,Cheese Pizza,16
2,Burgers,32
0,Burgers,26
3,Donuts,13
9,Pure Sugar,14
10,Cheese Pizza,9
1,Burgers,15
0,Soft Drink,11
10,Ice cream,12
6,Ice cream,7
1,Milkshakes,9
0,Brownies,9
1,Donuts,22
10,Burgers,16
2,Burgers,15
1,Cheese Pizza,20
1,Chocolate,21
1,Donuts,2
3,Cake,25
0,Burgers,5
4,Soft Drink,17
2,Burgers,14
0,Cheese Pizza,11
10,Milkshakes,13
2,Milkshakes,13
1,Cheese Pizza,4
2,Brownies,14
0,Cake,17
10,Burgers,4
2,Milkshakes,29
3,Ice cream,12
1,Milkshakes,1
2,Lollies,12
9,Donuts,12
0,Donuts,33
6,Ice cream,14
2,Lollies,16
1,Burgers,8
4,Milkshakes,26
1,Pure Sugar,10
0,Soft Drink,17
1,Burgers,6
1,Brownies,25
5,Ice cream,11
5,Burgers,5
0,Brownies,14
5,Pure Sugar,25
1,Milkshakes,15
1,Soft Drink,18
4,Cake,24
8,Brownies,17
3,Soft Drink,11
10,Lollies,1
4,Soft Drink,22
7,Soft Drink,21
2,Cake,15
8,Burgers,7
0,Chocolate,12
1,Pure Sugar,10
1,Soft Drink,20
0,Soft Drink,21
0,Cheese Pizza,8
2,Cheese Pizza,13
2,Chocolate,16
9,Lollies,18
10,Ice cream,20
0,Cake,20
1,Donuts,11
0,Lollies,24
8,Pure Sugar,14
3,Donuts,20
0,Chocolate,15
7,Cheese Pizza,2
0,Donuts,4
7,Lollies,23
0,Pure Sugar,14
2,Cake,7
1,Ice cream,27
4,Chocolate,14
3,Burgers,16
1,Pure Sugar,10
10,Chocolate,18
2,Lollies,8
2,Ice cream,22
3,Soft Drink,11
0,Cake,2
8,Milkshakes,12
3,Soft Drink,7
4,Ice cream,17
10,Milkshakes,10
4,Pure Sugar,5
0,Milkshakes,11
0,Soft Drink,14
3,Cake,1
0,Pure Sugar,1
0,Chocolate,1
1,Milkshakes,10
10,Lollies,15
3,Milkshakes,17
8,Cake,15
2,Pure Sugar,26
10,Chocolate,3
0,Lollies,3
5,Cheese Pizza,17
10,Donuts,1
2,Lollies,21
1,Pure Sugar,20
4,Donuts,26
1,Donuts,9
1,Burgers,2
1,Pure Sugar,7
2,Milkshakes,20
2,Pure Sugar,10
0,Donuts,21
4,Milkshakes,2
7,Brownies,29
5,Soft Drink,8
2,Burgers,11
0,Cake,7
4,Chocolate,33
0,Milkshakes,19
2,Soft Drink,7
10,Milkshakes,7
1,Ice cream,14
5,Donuts,13
10,Lollies,15
0,Brownies,4
3,Lollies,14
3,Pure Sugar,17
2,Brownies,28
2,Lollies,27
2,Donuts,15
0,Brownies,13
0,Cake,20
0,Milkshakes,21
7,Brownies,13
0,Lollies,5
1,Ice cream,2
7,Ice cream,3
9,Cheese Pizza,6
1,Chocolate,20
4,Milkshakes,17
0,Ice cream,23
10,Cheese Pizza,8
0,Ice cream,20
0,Donuts,20
0,Cheese Pizza,19
4,Ice cream,11
1,Lollies,15
2,Lollies,22
10,Lollies,1
0,Cheese Pizza,15
3,Pure Sugar,10
1,Cheese Pizza,1
3,Chocolate,23
8,Pure Sugar,20
4,Donuts,15
10,Lollies,7
5,Soft Drink,14
2,Cheese Pizza,14
0,Soft Drink,18
0,Cake,19
1,Burgers,22
1,Cheese Pizza,17
6,Soft Drink,14
2,Milkshakes,24
2,Cheese Pizza,20
10,Cheese Pizza,15
4,Cheese Pizza,12
3,Cheese Pizza,20
7,Lollies,11
0,Burgers,13
7,Lollies,19
1,Lollies,19
1,Ice cream,16
4,Lollies,14
0,Donuts,7
0,Ice cream,20
10,Brownies,24
3,Burgers,19
1,Pure Sugar,16
9,Burgers,24
1,Soft Drink,18
0,Burgers,35
10,Brownies,12
0,Lollies,10
3,Donuts,15
5,Donuts,4
10,Burgers,1
0,Cheese Pizza,17
3,Pure Sugar,2
0,Chocolate,30
5,Brownies,9
0,Milkshakes,16
1,Burgers,9
10,Burgers,25
7,Burgers,9
4,Soft Drink,10
4,Chocolate,12
3,Chocolate,14
10,Chocolate,7
7,Chocolate,3
3,Milkshakes,17
0,Chocolate,28
1,Milkshakes,18
10,Cake,17
0,Cheese Pizza,17
0,Ice cream,19
0,Burgers,13
3,Pure Sugar,10
1,Ice cream,22
9,Pure Sugar,2
10,Burgers,28
1,Milkshakes,13
8,Soft Drink,7
1,Ice cream,15
1,Cheese Pizza,24
3,Cake,2
9,Pure Sugar,24
0,Chocolate,17
1,Chocolate,4
0,Cake,19
1,Milkshakes,15
4,Ice cream,14
0,Ice cream,15
1,Chocolate,12
3,Chocolate,5
6,Donuts,1
10,Pure Sugar,10
2,Pure Sugar,1
2,Burgers,9
8,Brownies,10
2,Brownies,15
0,Chocolate,6
8,Soft Drink,17
5,Burgers,15
1,Donuts,15
2,Donuts,22
0,Cheese Pizza,8
0,Soft Drink,17
1,Pure Sugar,9
4,Chocolate,1
1,Pure Sugar,28
10,Cake,37
0,Cake,33
4,Cake,12
3,Cheese Pizza,1
0,Lollies,29
7,Cheese Pizza,11
2,Chocolate,1
2,Lollies,15
5,Cake,19
5,Cake,4
6,Milkshakes,21
0,Lollies,5
10,Cheese Pizza,20
8,Soft Drink,24
8,Ice cream,27
4,Cake,8
1,Chocolate,7
4,Burgers,6
5,Pure Sugar,3
1,Burgers,1
7,Burgers,1
2,Ice cream,22
1,Brownies,17
10,Chocolate,22
10,Soft Drink,13
5,Burgers,20
3,Pure Sugar,18
1,Soft Drink,26
8,Burgers,20
5,Chocolate,24
5,Cheese Pizza,19
2,Brownies,14
0,Brownies,17
3,Cheese Pizza,16
7,Ice cream,20
2,Pure Sugar,4
5,Pure Sugar,32
2,Milkshakes,8
3,Milkshakes,26
0,Ice cream,18
1,Cheese Pizza,31
9,Burgers,29
1,Milkshakes,3
2,Donuts,18
3,Brownies,32
5,Soft Drink,10
1,Ice cream,8
0,Brownies,9
7,Milkshakes,2
5,Soft Drink,12
5,Burgers,8
0,Brownies,10
2,Chocolate,15
2,Ice cream,7
2,Cake,13
10,Soft Drink,24
10,Cake,19
0,Brownies,12
0,Chocolate,15
7,Cake,21
0,Burgers,11
10,Milkshakes,16
4,Donuts,6
0,Donuts,2
4,Cheese Pizza,24
1,Brownies,15
2,Cake,11
0,Burgers,6
3,Donuts,34
0,Soft Drink,17
1,Chocolate,18
4,Chocolate,8
0,Burgers,13
1,Cheese Pizza,17
0,Ice cream,17
3,Cheese Pizza,15
1,Soft Drink,9
8,Cake,17
3,Cake,15
1,Milkshakes,27
0,Chocolate,15
0,Cake,6
1,Cheese Pizza,11
3,Chocolate,17
0,Pure Sugar,9
4,Lollies,13
0,Cake,12
2,Burgers,2
1,Lollies,20
6,Brownies,23
0,Milkshakes,16
0,Burgers,15
6,Cheese Pizza,21
1,Cheese Pizza,14
6,Pure Sugar,8
4,Soft Drink,1
0,Burgers,27
10,Pure Sugar,1
10,Burgers,18
6,Burgers,19
7,Cheese Pizza,19
3,Ice cream,23
10,Brownies,14
2,Soft Drink,11
8,Pure Sugar,9
2,Lollies,12
6,Donuts,9
2,Cake,12
4,Pure Sugar,14
2,Soft Drink,5
1,Brownies,20
4,Lollies,19
6,Ice cream,21
0,Ice cream,18
1,Pure Sugar,6
3,Soft Drink,7
1,Milkshakes,6
3,Cheese Pizza,9
10,Lollies,14
8,Burgers,9
3,Pure Sugar,10
0,Milkshakes,23
6,Milkshakes,20
10,Donuts,20
0,Soft Drink,14
3,Burgers,15
0,Donuts,20
0,Pure Sugar,16
1,Burgers,10
1,Cake,11
5,Pure Sugar,21
1,Pure Sugar,13
7,Lollies,12
1,Lollies,27
4,Soft Drink,24
0,Ice cream,22
3,Chocolate,29
2,Soft Drink,18
3,Donuts,26
1,Soft Drink,23
10,Cheese Pizza,17
1,Donuts,11
9,Brownies,3
5,Cheese Pizza,14
1,Ice cream,22
2,Chocolate,2
8,Cake,17
0,Milkshakes,21
0,Ice cream,1
3,Milkshakes,14
10,Milkshakes,12
2,Lollies,11
3,Burgers,11
3,Donuts,19
4,Cake,19
4,Ice cream,13
8,Pure Sugar,35
2,Cake,10
10,Cheese Pizza,12
6,Cake,16
1,Ice cream,7
1,Cheese Pizza,15
2,Donuts,33
10,Ice cream,23
0,Cake,1
0,Soft Drink,20
2,Ice cream,11
3,Milkshakes,21
10,Cake,12
6,Brownies,27
0,Brownies,19
0,Pure Sugar,19
0,Burgers,19
6,Ice cream,22
